"","OBJECTID","OBJECTID_1","acres","croptype","Band2","Band3","Band4","Band8","Band5","Band6","Band7","Band11","Band12","Band8A","EVI","GCI","NDTI","PSRI","SAVI"
"49",6524435,509886,148.001332551307,"ALMOND",0.0780244618654251,0.113143540918827,0.134269580245018,0.343586593866348,0.183398872613907,0.282270193099976,0.324976354837418,0.353874832391739,0.246851056814194,0.357296854257584,0.336199313402176,2.08562541007996,0.179278537631035,0.200076133012772,0.321626454591751
"50",6524437,509888,38.0007385993145,"ALMOND",0.0628257766366005,0.096056655049324,0.0931532382965088,0.403029233217239,0.147123739123344,0.314447194337845,0.384607523679733,0.257921695709229,0.17412257194519,0.411001771688461,0.520548343658447,3.29444670677185,0.199211999773979,0.0982938036322594,0.466604113578796
"51",6524438,509889,38.8315389756158,"ALMOND",0.0633690878748894,0.0972312018275261,0.0951520800590515,0.397623300552368,0.148426815867424,0.312093794345856,0.380612552165985,0.260760068893433,0.177389860153198,0.405924707651138,0.507344484329224,3.16096806526184,0.193455830216408,0.102768190205097,0.45688471198082
"52",6524442,509892,34.6673460152427,"ALMOND",0.112557500600815,0.151781395077705,0.18908779323101,0.270299226045609,0.219015374779701,0.238407790660858,0.25834783911705,0.387438148260117,0.342227905988693,0.277913004159927,0.13007764518261,0.785859644412994,0.0622954778373241,0.322139531373978,0.126952350139618
"53",6524860,509896,1.1623148911757,"GRAPE, WINE",0.0952991247177124,0.132577881217003,0.177119165658951,0.326089888811111,0.221160009503365,0.273098140954971,0.303442507982254,0.38344606757164,0.296791613101959,0.33428293466568,0.222623124718666,1.47276306152344,0.127660304307938,0.301259279251099,0.222607910633087
"54",6525040,509904,74.2501741989,"WALNUT",0.0395014844834805,0.0656636878848076,0.0553262755274773,0.375499963760376,0.106057651340961,0.29185476899147,0.362673491239548,0.226934969425201,0.129946038126945,0.386815190315247,0.569177746772766,5.01876831054688,0.282078981399536,0.0577214434742928,0.515425682067871
"55",6526386,509913,237.790540085512,"ALMOND",0.0827844068408012,0.11712858080864,0.146860361099243,0.315858602523804,0.185398161411285,0.262715011835098,0.298993557691574,0.319718182086945,0.231470361351967,0.327617853879929,0.269893854856491,1.75831830501556,0.163845703005791,0.242849543690681,0.2640760242939
"56",6526738,509914,18.2319827300416,"ALMOND",0.101369336247444,0.143208533525467,0.173775658011436,0.342357695102692,0.218166321516037,0.290239423513412,0.321772068738937,0.343170821666718,0.242159008979797,0.350740104913712,0.261075645685196,1.43186116218567,0.173129200935364,0.247115194797516,0.249891877174377
"57",6534380,509963,77.477941151727,"WALNUT",0.0458088181912899,0.0729418471455574,0.0644480511546135,0.317683845758438,0.113489836454391,0.258108615875244,0.308707177639008,0.222094342112541,0.134001493453979,0.329732984304428,0.466406404972076,3.50649380683899,0.254920780658722,0.0727990865707397,0.430767893791199
"58",6536841,509977,31.2243902780316,"WALNUT",0.0576516836881638,0.086736336350441,0.0888298600912094,0.326243430376053,0.138314321637154,0.264658987522125,0.311437368392944,0.282432228326797,0.200239300727844,0.338710218667984,0.417906850576401,2.87333798408508,0.17430604994297,0.11908970028162,0.390140175819397
"59",6536842,509978,15.3315045561239,"WALNUT",0.0741183906793594,0.106045834720135,0.122595131397247,0.322209656238556,0.169768452644348,0.263074338436127,0.303456485271454,0.328446209430695,0.247042819857597,0.33233106136322,0.333163797855377,2.0802309513092,0.142487034201622,0.18761633336544,0.317311316728592
"60",6536843,509979,70.4120299635667,"WALNUT",0.048144057393074,0.0758859217166901,0.0735297277569771,0.3420270383358,0.123904705047607,0.271050423383713,0.326195597648621,0.256043434143066,0.160066962242126,0.354916542768478,0.472981542348862,3.59639000892639,0.234619587659836,0.0962292477488518,0.439932972192764
"61",6536844,509980,111.838702989851,"WALNUT",0.0478000827133656,0.0737356841564178,0.0674072355031967,0.345573455095291,0.116892859339714,0.273093700408936,0.331666320562363,0.254709631204605,0.16372150182724,0.357691824436188,0.501311540603638,3.77035021781921,0.222686782479286,0.0752455592155457,0.457019716501236
